,latitude,longitude,generationtime_ms,utc_offset_seconds,timezone,timezone_abbreviation,elevation,hourly_units,hourly
time,52.52,13.419998,0.22900104522705078,0,GMT,GMT,38.0,iso8601,"['2022-11-06T00:00', '2022-11-06T01:00', '2022-11-06T02:00', '2022-11-06T03:00', '2022-11-06T04:00', '2022-11-06T05:00', '2022-11-06T06:00', '2022-11-06T07:00', '2022-11-06T08:00', '2022-11-06T09:00', '2022-11-06T10:00', '2022-11-06T11:00', '2022-11-06T12:00', '2022-11-06T13:00', '2022-11-06T14:00', '2022-11-06T15:00', '2022-11-06T16:00', '2022-11-06T17:00', '2022-11-06T18:00', '2022-11-06T19:00', '2022-11-06T20:00', '2022-11-06T21:00', '2022-11-06T22:00', '2022-11-06T23:00', '2022-11-07T00:00', '2022-11-07T01:00', '2022-11-07T02:00', '2022-11-07T03:00', '2022-11-07T04:00', '2022-11-07T05:00', '2022-11-07T06:00', '2022-11-07T07:00', '2022-11-07T08:00', '2022-11-07T09:00', '2022-11-07T10:00', '2022-11-07T11:00', '2022-11-07T12:00', '2022-11-07T13:00', '2022-11-07T14:00', '2022-11-07T15:00', '2022-11-07T16:00', '2022-11-07T17:00', '2022-11-07T18:00', '2022-11-07T19:00', '2022-11-07T20:00', '2022-11-07T21:00', '2022-11-07T22:00', '2022-11-07T23:00', '2022-11-08T00:00', '2022-11-08T01:00', '2022-11-08T02:00', '2022-11-08T03:00', '2022-11-08T04:00', '2022-11-08T05:00', '2022-11-08T06:00', '2022-11-08T07:00', '2022-11-08T08:00', '2022-11-08T09:00', '2022-11-08T10:00', '2022-11-08T11:00', '2022-11-08T12:00', '2022-11-08T13:00', '2022-11-08T14:00', '2022-11-08T15:00', '2022-11-08T16:00', '2022-11-08T17:00', '2022-11-08T18:00', '2022-11-08T19:00', '2022-11-08T20:00', '2022-11-08T21:00', '2022-11-08T22:00', '2022-11-08T23:00', '2022-11-09T00:00', '2022-11-09T01:00', '2022-11-09T02:00', '2022-11-09T03:00', '2022-11-09T04:00', '2022-11-09T05:00', '2022-11-09T06:00', '2022-11-09T07:00', '2022-11-09T08:00', '2022-11-09T09:00', '2022-11-09T10:00', '2022-11-09T11:00', '2022-11-09T12:00', '2022-11-09T13:00', '2022-11-09T14:00', '2022-11-09T15:00', '2022-11-09T16:00', '2022-11-09T17:00', '2022-11-09T18:00', '2022-11-09T19:00', '2022-11-09T20:00', '2022-11-09T21:00', '2022-11-09T22:00', '2022-11-09T23:00', '2022-11-10T00:00', '2022-11-10T01:00', '2022-11-10T02:00', '2022-11-10T03:00', '2022-11-10T04:00', '2022-11-10T05:00', '2022-11-10T06:00', '2022-11-10T07:00', '2022-11-10T08:00', '2022-11-10T09:00', '2022-11-10T10:00', '2022-11-10T11:00', '2022-11-10T12:00', '2022-11-10T13:00', '2022-11-10T14:00', '2022-11-10T15:00', '2022-11-10T16:00', '2022-11-10T17:00', '2022-11-10T18:00', '2022-11-10T19:00', '2022-11-10T20:00', '2022-11-10T21:00', '2022-11-10T22:00', '2022-11-10T23:00', '2022-11-11T00:00', '2022-11-11T01:00', '2022-11-11T02:00', '2022-11-11T03:00', '2022-11-11T04:00', '2022-11-11T05:00', '2022-11-11T06:00', '2022-11-11T07:00', '2022-11-11T08:00', '2022-11-11T09:00', '2022-11-11T10:00', '2022-11-11T11:00', '2022-11-11T12:00', '2022-11-11T13:00', '2022-11-11T14:00', '2022-11-11T15:00', '2022-11-11T16:00', '2022-11-11T17:00', '2022-11-11T18:00', '2022-11-11T19:00', '2022-11-11T20:00', '2022-11-11T21:00', '2022-11-11T22:00', '2022-11-11T23:00', '2022-11-12T00:00', '2022-11-12T01:00', '2022-11-12T02:00', '2022-11-12T03:00', '2022-11-12T04:00', '2022-11-12T05:00', '2022-11-12T06:00', '2022-11-12T07:00', '2022-11-12T08:00', '2022-11-12T09:00', '2022-11-12T10:00', '2022-11-12T11:00', '2022-11-12T12:00', '2022-11-12T13:00', '2022-11-12T14:00', '2022-11-12T15:00', '2022-11-12T16:00', '2022-11-12T17:00', '2022-11-12T18:00', '2022-11-12T19:00', '2022-11-12T20:00', '2022-11-12T21:00', '2022-11-12T22:00', '2022-11-12T23:00']"
temperature_2m,52.52,13.419998,0.22900104522705078,0,GMT,GMT,38.0,°C,"[4.7, 4.9, 5.0, 4.5, 4.3, 4.2, 4.0, 4.2, 5.2, 6.9, 8.6, 9.9, 10.8, 11.1, 11.0, 10.2, 9.1, 8.1, 7.4, 6.8, 6.6, 6.4, 6.4, 6.5, 6.7, 7.1, 7.5, 7.8, 7.6, 7.5, 7.4, 7.0, 7.7, 9.1, 10.7, 11.8, 13.0, 13.0, 13.0, 12.5, 11.3, 10.5, 9.9, 10.0, 10.2, 10.2, 9.9, 9.6, 9.5, 9.1, 8.8, 8.5, 8.4, 8.2, 8.1, 8.0, 8.9, 10.5, 12.3, 13.7, 14.6, 15.1, 14.9, 13.9, 12.6, 11.7, 11.3, 11.1, 10.8, 10.6, 10.2, 10.0, 9.9, 9.8, 9.8, 10.0, 10.0, 10.2, 10.4, 10.8, 11.2, 12.1, 13.0, 14.0, 15.0, 15.1, 14.8, 14.3, 13.8, 13.1, 12.5, 12.3, 12.2, 12.1, 12.0, 11.9, 11.6, 11.2, 10.8, 10.2, 9.8, 9.5, 9.4, 9.6, 9.9, 10.6, 11.3, 12.1, 12.8, 12.8, 12.4, 11.7, 11.1, 10.4, 9.5, 9.0, 8.4, 7.8, 7.5, 7.2, 6.8, 6.6, 6.4, 6.1, 6.0, 5.9, 5.8, 7.4, 8.1, 9.0, 9.7, 10.5, 11.2, 11.4, 11.5, 11.2, 10.6, 9.9, 9.1, 9.0, 9.0, 9.1, 8.9, 8.6, 8.1, 7.8, 7.4, 6.9, 6.6, 6.2, 6.1, 6.4, 7.0, 8.0, 9.2, 10.6, 12.0, 12.2, 12.0, 11.5, 10.9, 10.0, 9.0, 8.3, 7.7, 6.9, 6.2, 5.6]"
